0,21
500,21
1000,22
1500,22
2000,23
2500,23
3000,24
3500,24
4000,25
4500,25
5000,26
5500,26
6000,27
6500,27
7000,28
7500,28
8000,29
8500,29
9000,30
9500,30
10000,31
10500,31
11000,32
11500,32
12000,33
12500,33
13000,34
13500,34
14000,35
14500,35
15000,36
15500,36
16000,37
16500,37
17000,38
17500,38
18000,39
18500,39
19000,40
19500,40
20000,41
20500,41
21000,42
21500,42
22000,43
22500,43
23000,44
23500,44
24000,45
24500,45
25000,46
25500,46
26000,47
26500,47
27000,48
27500,48
28000,49
28500,49
29000,50
29500,50
30000,51
30500,51
31000,52
31500,52
32000,53
32500,53
33000,54
33500,54
34000,55
34500,55
35000,56
35500,56
36000,57
36500,57
37000,58
37500,58
38000,59
38500,59
39000,60
39500,60
40000,61
40500,61
41000,62
41500,62
42000,63
42500,63
43000,64
43500,64
44000,65
44500,65
45000,66
45500,66
46000,67
46500,67
47000,68
47500,68
48000,69
48500,69
49000,70
49500,70
50000,71
50500,71
51000,72
51500,72
52000,73
52500,73
53000,74
53500,74
54000,75
54500,75
55000,76
55500,76
56000,77
56500,77
57000,78
57500,78
58000,79
58500,79
59000,80
59500,80
60000,81
60500,81
61000,82
61500,82
62000,83
62500,83
63000,84
63500,84
64000,85
64500,85
65000,86
65500,86
66000,87
66500,87
67000,88
67500,88
68000,89
68500,89
69000,90
69500,90
70000,91
70500,91
71000,92
71500,92
72000,93
72500,93
73000,94
73500,94
74000,95
74500,95
75000,96
75500,96
76000,97
76500,97
77000,98
77500,98
78000,99
78500,99
79000,100
79500,100
80000,101
80500,101
81000,102
81500,102
82000,103
82500,103
83000,104
83500,104
84000,105
84500,105
85000,106
85500,106
86000,107
86500,107
87000,108
87500,108
eof
