0,22
500,22
1000,25
1500,25
2000,27
2500,27
3000,30
3500,30
4000,32
4500,32
5000,34
5500,34
6000,37
6500,37
7000,39
7500,39
8000,42
8500,42
9000,44
9500,44
10000,46
10500,46
11000,49
11500,49
12000,51
12500,51
13000,54
13500,54
14000,56
14500,56
15000,58
15500,58
16000,61
16500,61
17000,63
17500,63
18000,66
18500,66
19000,68
19500,68
20000,70
20500,70
21000,73
21500,73
22000,75
22500,75
23000,78
23500,78
24000,80
24500,80
25000,82
25500,82
26000,85
26500,85
27000,87
27500,87
28000,90
28500,90
29000,92
29500,92
30000,94
30500,94
31000,97
31500,97
32000,99
32500,99
33000,102
33500,102
34000,104
34500,104
35000,106
35500,106
eof
